18,10,30,31,19,05
12,19,02,06,29,11
22,09,19,12,29,10
31,28,08,11,19,13
22,07,27,09,15,08
29,10,33,18,19,32
07,10,28,05,23,29
33,16,22,10,01,07
16,11,12,13,23,25
22,18,07,29,23,09
28,03,19,14,13,06
05,06,13,03,22,20
01,25,30,06,05,16
11,05,01,22,24,20
08,14,24,20,03,26
14,21,18,28,29,25
03,14,05,30,26,25
24,12,16,01,22,20
03,27,23,14,07,25
18,24,22,07,05,19
22,17,02,01,04,15
04,01,08,15,14,09
19,01,06,03,29,21
06,23,16,31,30,02
06,16,03,23,26,30
23,11,26,30,06,14
02,31,03,32,06,14
25,01,22,06,14,26
11,31,02,29,23,12
02,30,22,10,31,06
01,29,03,10,04,18
26,01,04,17,06,19
02,08,10,12,05,21
16,10,24,02,28,22
12,25,22,31,20,16
26,31,22,24,07,01
06,20,12,26,07,27
26,10,13,24,05,31
15,25,09,19,08,04
01,09,28,22,32,13
18,31,30,20,22,23
13,21,14,18,19,28
12,24,13,20,31,07
09,02,33,28,23,03
15,04,09,31,29,11
31,08,18,24,07,29
09,15,24,02,05,25
27,12,20,29,10,24
14,08,15,29,01,20
09,14,15,19,05,08
33,10,08,32,05,02
04,13,26,32,23,14
16,25,07,21,05,20
08,31,16,19,32,21
08,13,23,16,27,31
23,02,07,04,10,01
13,27,22,04,15,10
33,28,19,23,29,15
02,12,04,17,24,14
01,04,13,08,24,27
25,11,30,20,22,15
10,24,02,27,01,05
28,01,32,06,24,14
19,32,04,08,33,07
30,23,05,07,15,20
24,27,31,15,05,08
26,10,06,27,29,16
09,23,30,07,01,20
25,23,30,02,15,21
07,08,12,30,13,22
11,30,27,02,14,04
30,19,10,03,12,27
15,02,22,17,16,32
25,21,09,29,31,26
03,04,22,18,01,11
16,18,06,15,02,32
05,10,33,02,22,32
31,12,04,08,33,10
25,04,12,06,23,08
01,31,25,02,17,03
10,03,08,07,22,23
08,29,27,05,16,22
08,01,32,09,17,14
18,06,20,31,23,08
28,31,33,08,11,29
11,16,24,10,15,14
26,10,29,23,12,11
28,05,30,25,08,19
02,08,29,09,15,06
28,13,15,07,29,27
26,33,02,04,24,05
26,29,04,02,08,33
11,12,23,06,30,22
30,27,05,17,13,26
01,27,15,32,08,04
24,32,23,19,25,15
26,09,20,25,14,11
09,16,25,07,29,24
08,09,20,22,16,02
11,06,20,22,16,33
21,04,09,02,05,13
32,26,23,20,03,33
20,01,26,11,30,02
14,28,31,32,18,04
03,15,17,07,16,23
01,03,07,12,19,20
27,10,04,12,33,32
09,06,24,23,25,33
21,30,10,23,01,17
24,21,04,17,13,15
32,26,02,17,01,05
28,19,26,30,06,01
07,20,24,30,25,16
32,15,10,06,01,09
10,27,02,29,20,07
33,20,02,08,18,10
33,18,13,11,12,14
15,22,21,27,33,16
28,05,08,19,27,13
19,18,25,27,10,04
23,17,27,21,03,28
33,06,08,31,05,21
11,09,27,26,04,17
17,12,07,29,31,26
12,18,06,02,19,17
01,08,06,30,20,27
32,21,09,15,27,24
09,20,12,27,14,07
15,28,23,29,22,24
28,23,02,10,25,03
06,21,28,25,02,05
09,32,30,21,19,31
14,33,31,23,09,22
17,14,10,28,33,03
20,07,27,23,18,31
22,27,20,26,08,06
16,22,29,05,20,27
11,26,01,16,17,20
15,12,25,06,18,14
15,14,04,32,07,02
32,28,05,31,07,33
11,16,15,33,09,27
03,07,26,19,02,08
11,26,32,18,27,06
13,04,30,22,05,25
08,27,28,31,19,10
09,18,30,11,31,05
27,13,24,19,01,05
10,30,05,14,08,17
33,24,19,03,32,01
23,03,10,22,29,27
01,11,33,21,27,23
02,32,08,29,25,31
28,13,25,26,31,06
06,14,21,22,24,13
12,01,09,18,05,32
07,06,31,18,10,12
06,25,17,09,27,15
02,23,13,24,29,15
22,14,04,23,28,08
26,02,21,20,13,17
31,01,14,30,32,03
14,33,25,03,16,18
14,11,10,03,02,21
12,10,32,11,15,09
25,12,19,20,21,01
24,02,18,12,04,26
30,09,17,31,16,24
20,15,12,17,06,14
15,02,30,25,32,06
17,24,25,16,32,01
10,12,24,28,01,03
04,02,29,23,26,08
29,19,17,09,20,01
08,22,30,32,13,07
29,06,16,01,03,32
11,10,12,06,20,25
12,11,16,09,15,20
25,19,05,16,24,22
29,28,21,26,19,32
06,03,11,29,23,18
11,21,27,20,10,08
28,19,08,23,31,32
09,18,31,13,27,20
13,07,20,03,18,19
13,26,16,27,22,25
26,12,19,17,03,14
28,18,17,23,32,16
19,21,12,18,13,15
05,20,06,32,18,08
05,22,29,04,26,32
28,04,25,20,11,12
18,03,05,20,24,32
26,19,23,22,12,07
18,11,03,16,04,08
16,10,22,26,05,06
16,11,28,19,32,06
08,31,29,10,12,02
13,28,19,01,24,06
33,09,15,01,04,02
28,29,09,24,12,30
08,13,06,14,22,27
15,08,13,14,03,30
05,08,22,02,17,15
30,25,20,26,07,27
04,32,17,09,30,12
10,30,03,12,18,01
30,26,20,33,05,14
17,31,07,23,26,14
18,21,12,22,24,17
23,19,20,03,13,26
07,01,19,18,27,03
12,22,13,29,03,28
31,33,32,06,15,26
20,22,04,07,03,09
19,29,13,04,26,20
15,28,21,22,03,23
06,17,20,18,29,27
14,15,08,27,21,12
03,10,19,08,33,26
22,14,19,25,10,29
18,20,21,27,12,15
25,29,21,12,06,08
11,15,13,17,19,31
30,09,12,04,28,33
11,04,30,12,24,17
02,05,07,31,14,18
03,29,25,06,10,19
23,22,30,19,04,09
13,11,22,26,24,09
01,12,22,10,02,24
06,17,13,16,30,23
14,17,13,21,25,12
20,08,30,05,22,06
22,20,01,25,26,24
26,22,25,14,01,02
02,10,27,20,08,18
21,22,31,07,26,12
32,12,16,07,14,27
22,29,10,03,08,15
12,14,02,04,25,19
27,14,24,25,32,10
29,33,15,02,32,24
12,20,14,27,29,05
31,16,28,18,20,13
20,31,11,14,18,33
08,22,10,17,25,33
10,14,26,28,23,01
09,14,30,17,24,20
18,22,20,16,13,06
25,11,18,07,15,09
11,15,27,08,29,22
18,32,11,19,21,29
32,05,06,31,23,08
08,01,03,31,11,29
09,21,33,10,22,20
14,09,27,26,13,22
23,30,08,09,16,24
17,28,16,30,32,21
08,07,19,24,15,20
07,32,15,04,28,01
20,15,19,13,21,32
22,13,17,20,19,25
28,25,03,08,19,27
28,30,29,20,06,31
13,18,25,01,10,27
08,01,24,16,19,02
27,31,28,14,22,23
05,28,12,02,29,23
14,18,01,26,32,12
14,19,27,05,31,02
24,03,02,20,22,13
03,28,11,05,30,33
10,22,13,26,19,12
15,17,06,22,14,16
05,08,16,27,11,18
08,11,22,01,28,03
22,07,19,27,33,10
23,10,29,15,20,11
27,30,13,33,22,05
03,27,02,05,18,12
22,05,28,09,12,08
22,05,16,25,11,07
03,21,20,01,29,28
21,24,29,16,27,26
31,23,18,02,10,08
21,01,23,31,11,04
11,04,26,12,32,18
23,15,04,26,06,28
07,01,32,24,14,08
13,21,26,04,07,09
27,07,05,19,01,08
03,27,10,19,20,01
20,16,14,30,08,18
16,05,22,07,23,17
33,16,09,01,32,08
02,24,12,27,22,19
